SCHLAGSATZ,SCHLAGNR,KTA_VJ,KTA_AJ,SCHLAGFLAE,LE_FLAECHE,AUKM,OER_VJ,OEKOREGELN,GLOEZ6,GLOEZ_ZF_U,KUP,SONSTIGE,ANSAATJAHR,ERNTEJAHR,BEMERKUNG,dist_to_water_m,fertilizer_amount_N_kg_per_ha,area_ha,n_applied_kg_ha,n_total_kg,n_estimated_to_water_kg
206851443,8803,573,88,1859,0,,ÖR1A,ÖR1A,3,,,,,,,1807.4926001954466,40,0.44114955807470685,,,
206851444,8801,573,88,4617,0,,ÖR1A,ÖR1A,3,,,,,,,964.1065257439033,0,1.0952818828935493,,,
206851445,7785,928,928,5163,0,"JO,K",,,3,,,,,,,1130.0677152230303,40,1.225293193209746,,,
206851448,7742,928,928,18725,0,"JM,K",,,3,,,,,,,1862.0699385375638,40,4.444148113347229,,,
206851449,7738,928,928,2778,0,"JM,K",,,3,,,,,,,1893.6692840095172,40,0.6592014984637903,,,
206851450,7737,42,42,1594,8,"K,L",ÖR2,ÖR2,3,,,,,,,1501.0994105844452,40,0.37819990352193217,,,
206851438,8884,573,88,1826,0,,ÖR1A,ÖR1A,3,,,,,,,412.16450507845894,0,0.43351682397455527,,,
206851439,8845,573,88,2028,0,,ÖR1A,ÖR1A,3,,,,,,,1796.3045892163075,40,0.4814329532020239,,,
206851440,8838,573,88,2889,0,,ÖR1A,ÖR1A,3,,,,,,,1656.4321811511506,40,0.6856245966867445,,,
206851441,8814,573,88,3137,20,,ÖR1A,ÖR1A,3,,,,,,,42.4563231701297,0,0.8228433580713541,,,
206851446,7764,62,928,0,0,"JM,K",,,3,,,,,,,1981.657584322816,40,0.7027622273534228,,,
206851447,7760,928,928,1815,0,"JM,K",,,3,,,,,,,846.6321852350194,0,0.43102085994554745,,,
206851451,7736,42,42,1228,0,"K,L",ÖR2,ÖR2,3,,,,,,,1477.3803955777964,40,0.2912614753068615,,,
206851442,8809,573,88,1561,0,,ÖR1A,ÖR1A,3,,,,,,,119.80139958550073,0,0.3703757548670607,,,
206851452,7735,88,89,1232,0,,ÖR1A,ÖR1A,3,,,,,,,249.05596924238733,0,0.2924387186353434,,,
206851453,7724,"311,928",928,2752,0,"JM,K",,,3,,,,,,,1995.4070378900217,40,0.7517226660377401,,,
206851454,7723,928,928,8284,0,"JM,K",,,3,,,,,,,1698.683437566128,40,1.9651903326392968,,,
